"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2019 Week 01","Red line","Number","274139"
"Passenger Journeys","2019 Week 01","Green line","Number","275394"
"Passenger Journeys","2019 Week 02","Red line","Number","408199"
"Passenger Journeys","2019 Week 02","Green line","Number","430823"
"Passenger Journeys","2019 Week 03","Red line","Number","376785"
"Passenger Journeys","2019 Week 03","Green line","Number","442574"
"Passenger Journeys","2019 Week 04","Red line","Number","405224"
"Passenger Journeys","2019 Week 04","Green line","Number","455521"
"Passenger Journeys","2019 Week 05","Red line","Number","441197"
"Passenger Journeys","2019 Week 05","Green line","Number","471598"
"Passenger Journeys","2019 Week 06","Red line","Number","449398"
"Passenger Journeys","2019 Week 06","Green line","Number","463215"
"Passenger Journeys","2019 Week 07","Red line","Number","466795"
"Passenger Journeys","2019 Week 07","Green line","Number","473682"
"Passenger Journeys","2019 Week 08","Red line","Number","480974"
"Passenger Journeys","2019 Week 08","Green line","Number","471317"
"Passenger Journeys","2019 Week 09","Red line","Number","468299"
"Passenger Journeys","2019 Week 09","Green line","Number","461093"
"Passenger Journeys","2019 Week 10","Red line","Number","475467"
"Passenger Journeys","2019 Week 10","Green line","Number","466451"
"Passenger Journeys","2019 Week 11","Red line","Number","442796"
"Passenger Journeys","2019 Week 11","Green line","Number","482201"
"Passenger Journeys","2019 Week 12","Red line","Number","440137"
"Passenger Journeys","2019 Week 12","Green line","Number","428068"
"Passenger Journeys","2019 Week 13","Red line","Number","516298"
"Passenger Journeys","2019 Week 13","Green line","Number","487573"
"Passenger Journeys","2019 Week 14","Red line","Number","457616"
"Passenger Journeys","2019 Week 14","Green line","Number","475959"
"Passenger Journeys","2019 Week 15","Red line","Number","469346"
"Passenger Journeys","2019 Week 15","Green line","Number","476316"
"Passenger Journeys","2019 Week 16","Red line","Number","426377"
"Passenger Journeys","2019 Week 16","Green line","Number","415809"
"Passenger Journeys","2019 Week 17","Red line","Number","408238"
"Passenger Journeys","2019 Week 17","Green line","Number","393058"
"Passenger Journeys","2019 Week 18","Red line","Number","453764"
"Passenger Journeys","2019 Week 18","Green line","Number","465491"
"Passenger Journeys","2019 Week 19","Red line","Number","411312"
"Passenger Journeys","2019 Week 19","Green line","Number","406621"
"Passenger Journeys","2019 Week 20","Red line","Number","446595"
"Passenger Journeys","2019 Week 20","Green line","Number","458388"
"Passenger Journeys","2019 Week 21","Red line","Number","455929"
"Passenger Journeys","2019 Week 21","Green line","Number","446486"
"Passenger Journeys","2019 Week 22","Red line","Number","502622"
"Passenger Journeys","2019 Week 22","Green line","Number","470403"
"Passenger Journeys","2019 Week 23","Red line","Number","422419"
"Passenger Journeys","2019 Week 23","Green line","Number","403850"
"Passenger Journeys","2019 Week 24","Red line","Number","471816"
"Passenger Journeys","2019 Week 24","Green line","Number","453700"
"Passenger Journeys","2019 Week 25","Red line","Number","444675"
"Passenger Journeys","2019 Week 25","Green line","Number","438533"
"Passenger Journeys","2019 Week 26","Red line","Number","457342"
"Passenger Journeys","2019 Week 26","Green line","Number","448295"
"Passenger Journeys","2019 Week 27","Red line","Number","498818"
"Passenger Journeys","2019 Week 27","Green line","Number","483470"
"Passenger Journeys","2019 Week 28","Red line","Number","478360"
"Passenger Journeys","2019 Week 28","Green line","Number","440798"
"Passenger Journeys","2019 Week 29","Red line","Number","452205"
"Passenger Journeys","2019 Week 29","Green line","Number","451753"
"Passenger Journeys","2019 Week 30","Red line","Number","469191"
"Passenger Journeys","2019 Week 30","Green line","Number","457300"
"Passenger Journeys","2019 Week 31","Red line","Number","422939"
"Passenger Journeys","2019 Week 31","Green line","Number","409513"
"Passenger Journeys","2019 Week 32","Red line","Number","423004"
"Passenger Journeys","2019 Week 32","Green line","Number","384389"
"Passenger Journeys","2019 Week 33","Red line","Number","445915"
"Passenger Journeys","2019 Week 33","Green line","Number","422762"
"Passenger Journeys","2019 Week 34","Red line","Number","448568"
"Passenger Journeys","2019 Week 34","Green line","Number","414371"
"Passenger Journeys","2019 Week 35","Red line","Number","442634"
"Passenger Journeys","2019 Week 35","Green line","Number","454721"
"Passenger Journeys","2019 Week 36","Red line","Number","454849"
"Passenger Journeys","2019 Week 36","Green line","Number","478513"
"Passenger Journeys","2019 Week 37","Red line","Number","469489"
"Passenger Journeys","2019 Week 37","Green line","Number","500329"
"Passenger Journeys","2019 Week 38","Red line","Number","484461"
"Passenger Journeys","2019 Week 38","Green line","Number","505662"
"Passenger Journeys","2019 Week 39","Red line","Number","515967"
"Passenger Journeys","2019 Week 39","Green line","Number","515970"
"Passenger Journeys","2019 Week 40","Red line","Number","484015"
"Passenger Journeys","2019 Week 40","Green line","Number","502144"
"Passenger Journeys","2019 Week 41","Red line","Number","534986"
"Passenger Journeys","2019 Week 41","Green line","Number","519763"
"Passenger Journeys","2019 Week 42","Red line","Number","499959"
"Passenger Journeys","2019 Week 42","Green line","Number","514057"
"Passenger Journeys","2019 Week 43","Red line","Number","502241"
"Passenger Journeys","2019 Week 43","Green line","Number","526281"
"Passenger Journeys","2019 Week 44","Red line","Number","471553"
"Passenger Journeys","2019 Week 44","Green line","Number","453032"
"Passenger Journeys","2019 Week 45","Red line","Number","497796"
"Passenger Journeys","2019 Week 45","Green line","Number","521908"
"Passenger Journeys","2019 Week 46","Red line","Number","514523"
"Passenger Journeys","2019 Week 46","Green line","Number","524302"
"Passenger Journeys","2019 Week 47","Red line","Number","530882"
"Passenger Journeys","2019 Week 47","Green line","Number","531392"
"Passenger Journeys","2019 Week 48","Red line","Number","544022"
"Passenger Journeys","2019 Week 48","Green line","Number","569646"
"Passenger Journeys","2019 Week 49","Red line","Number","519257"
"Passenger Journeys","2019 Week 49","Green line","Number","561534"
"Passenger Journeys","2019 Week 50","Red line","Number","556229"
"Passenger Journeys","2019 Week 50","Green line","Number","594869"
"Passenger Journeys","2019 Week 51","Red line","Number","550775"
"Passenger Journeys","2019 Week 51","Green line","Number","622699"
"Passenger Journeys","2019 Week 52","Red line","Number","259211"
"Passenger Journeys","2019 Week 52","Green line","Number","279301"
"Passenger Journeys","2019 Week 53","Red line","Number",""
"Passenger Journeys","2019 Week 53","Green line","Number",""
"Passenger Journeys","2020 Week 01","Red line","Number","304607"
"Passenger Journeys","2020 Week 01","Green line","Number","298391"
"Passenger Journeys","2020 Week 02","Red line","Number","401704"
"Passenger Journeys","2020 Week 02","Green line","Number","426751"
"Passenger Journeys","2020 Week 03","Red line","Number","436427"
"Passenger Journeys","2020 Week 03","Green line","Number","453378"
"Passenger Journeys","2020 Week 04","Red line","Number","438798"
"Passenger Journeys","2020 Week 04","Green line","Number","466044"
"Passenger Journeys","2020 Week 05","Red line","Number","460495"
"Passenger Journeys","2020 Week 05","Green line","Number","482333"
"Passenger Journeys","2020 Week 06","Red line","Number","460914"
"Passenger Journeys","2020 Week 06","Green line","Number","459207"
"Passenger Journeys","2020 Week 07","Red line","Number","448811"
"Passenger Journeys","2020 Week 07","Green line","Number","462651"
"Passenger Journeys","2020 Week 08","Red line","Number","461085"
"Passenger Journeys","2020 Week 08","Green line","Number","462784"
"Passenger Journeys","2020 Week 09","Red line","Number","437082"
"Passenger Journeys","2020 Week 09","Green line","Number","461774"
"Passenger Journeys","2020 Week 10","Red line","Number","472655"
"Passenger Journeys","2020 Week 10","Green line","Number","441958"
"Passenger Journeys","2020 Week 11","Red line","Number","347419"
"Passenger Journeys","2020 Week 11","Green line","Number","337090"
"Passenger Journeys","2020 Week 12","Red line","Number","94591"
"Passenger Journeys","2020 Week 12","Green line","Number","77471"
"Passenger Journeys","2020 Week 13","Red line","Number","64188"
"Passenger Journeys","2020 Week 13","Green line","Number","45190"
"Passenger Journeys","2020 Week 14","Red line","Number","30357"
"Passenger Journeys","2020 Week 14","Green line","Number","21298"
"Passenger Journeys","2020 Week 15","Red line","Number","31902"
"Passenger Journeys","2020 Week 15","Green line","Number","19793"
"Passenger Journeys","2020 Week 16","Red line","Number","29666"
"Passenger Journeys","2020 Week 16","Green line","Number","19727"
"Passenger Journeys","2020 Week 17","Red line","Number","33589"
"Passenger Journeys","2020 Week 17","Green line","Number","21657"
"Passenger Journeys","2020 Week 18","Red line","Number","30363"
"Passenger Journeys","2020 Week 18","Green line","Number","22958"
"Passenger Journeys","2020 Week 19","Red line","Number","37373"
"Passenger Journeys","2020 Week 19","Green line","Number","24953"
"Passenger Journeys","2020 Week 20","Red line","Number","42233"
"Passenger Journeys","2020 Week 20","Green line","Number","28056"
"Passenger Journeys","2020 Week 21","Red line","Number","57828"
"Passenger Journeys","2020 Week 21","Green line","Number","39490"
"Passenger Journeys","2020 Week 22","Red line","Number","70711"
"Passenger Journeys","2020 Week 22","Green line","Number","50934"
"Passenger Journeys","2020 Week 23","Red line","Number","66098"
"Passenger Journeys","2020 Week 23","Green line","Number","50356"
"Passenger Journeys","2020 Week 24","Red line","Number","91498"
"Passenger Journeys","2020 Week 24","Green line","Number","70689"
"Passenger Journeys","2020 Week 25","Red line","Number","104738"
"Passenger Journeys","2020 Week 25","Green line","Number","93298"
"Passenger Journeys","2020 Week 26","Red line","Number","111503"
"Passenger Journeys","2020 Week 26","Green line","Number","100606"
"Passenger Journeys","2020 Week 27","Red line","Number","132545"
"Passenger Journeys","2020 Week 27","Green line","Number","127756"
"Passenger Journeys","2020 Week 28","Red line","Number","144676"
"Passenger Journeys","2020 Week 28","Green line","Number","127505"
"Passenger Journeys","2020 Week 29","Red line","Number","147109"
"Passenger Journeys","2020 Week 29","Green line","Number","134146"
"Passenger Journeys","2020 Week 30","Red line","Number","153043"
"Passenger Journeys","2020 Week 30","Green line","Number","146794"
"Passenger Journeys","2020 Week 31","Red line","Number","175329"
"Passenger Journeys","2020 Week 31","Green line","Number","154650"
"Passenger Journeys","2020 Week 32","Red line","Number","173546"
"Passenger Journeys","2020 Week 32","Green line","Number","151141"
"Passenger Journeys","2020 Week 33","Red line","Number","166560"
"Passenger Journeys","2020 Week 33","Green line","Number","161421"
"Passenger Journeys","2020 Week 34","Red line","Number","176256"
"Passenger Journeys","2020 Week 34","Green line","Number","156507"
"Passenger Journeys","2020 Week 35","Red line","Number","183972"
"Passenger Journeys","2020 Week 35","Green line","Number","168074"
"Passenger Journeys","2020 Week 36","Red line","Number","181996"
"Passenger Journeys","2020 Week 36","Green line","Number","182181"
"Passenger Journeys","2020 Week 37","Red line","Number","196461"
"Passenger Journeys","2020 Week 37","Green line","Number","189424"
"Passenger Journeys","2020 Week 38","Red line","Number","183897"
"Passenger Journeys","2020 Week 38","Green line","Number","175859"
"Passenger Journeys","2020 Week 39","Red line","Number","158777"
"Passenger Journeys","2020 Week 39","Green line","Number","163607"
"Passenger Journeys","2020 Week 40","Red line","Number","167616"
"Passenger Journeys","2020 Week 40","Green line","Number","167033"
"Passenger Journeys","2020 Week 41","Red line","Number","174748"
"Passenger Journeys","2020 Week 41","Green line","Number","175280"
"Passenger Journeys","2020 Week 42","Red line","Number","164088"
"Passenger Journeys","2020 Week 42","Green line","Number","174095"
"Passenger Journeys","2020 Week 43","Red line","Number","145295"
"Passenger Journeys","2020 Week 43","Green line","Number","138343"
"Passenger Journeys","2020 Week 44","Red line","Number","102521"
"Passenger Journeys","2020 Week 44","Green line","Number","83766"
"Passenger Journeys","2020 Week 45","Red line","Number","118170"
"Passenger Journeys","2020 Week 45","Green line","Number","109435"
"Passenger Journeys","2020 Week 46","Red line","Number","124527"
"Passenger Journeys","2020 Week 46","Green line","Number","113452"
"Passenger Journeys","2020 Week 47","Red line","Number","129443"
"Passenger Journeys","2020 Week 47","Green line","Number","114833"
"Passenger Journeys","2020 Week 48","Red line","Number","133829"
"Passenger Journeys","2020 Week 48","Green line","Number","125944"
"Passenger Journeys","2020 Week 49","Red line","Number","195204"
"Passenger Journeys","2020 Week 49","Green line","Number","199409"
"Passenger Journeys","2020 Week 50","Red line","Number","214437"
"Passenger Journeys","2020 Week 50","Green line","Number","229282"
"Passenger Journeys","2020 Week 51","Red line","Number","223291"
"Passenger Journeys","2020 Week 51","Green line","Number","236739"
"Passenger Journeys","2020 Week 52","Red line","Number","135020"
"Passenger Journeys","2020 Week 52","Green line","Number","141825"
"Passenger Journeys","2020 Week 53","Red line","Number","71440"
"Passenger Journeys","2020 Week 53","Green line","Number","70211"
"Passenger Journeys","2021 Week 01","Red line","Number","86518"
"Passenger Journeys","2021 Week 01","Green line","Number","68364"
"Passenger Journeys","2021 Week 02","Red line","Number","83202"
"Passenger Journeys","2021 Week 02","Green line","Number","64705"
"Passenger Journeys","2021 Week 03","Red line","Number","84576"
"Passenger Journeys","2021 Week 03","Green line","Number","65704"
"Passenger Journeys","2021 Week 04","Red line","Number","84355"
"Passenger Journeys","2021 Week 04","Green line","Number","64278"
"Passenger Journeys","2021 Week 05","Red line","Number","87285"
"Passenger Journeys","2021 Week 05","Green line","Number","69184"
"Passenger Journeys","2021 Week 06","Red line","Number","86266"
"Passenger Journeys","2021 Week 06","Green line","Number","68329"
"Passenger Journeys","2021 Week 07","Red line","Number","85601"
"Passenger Journeys","2021 Week 07","Green line","Number","73357"
"Passenger Journeys","2021 Week 08","Red line","Number","95896"
"Passenger Journeys","2021 Week 08","Green line","Number","77563"
"Passenger Journeys","2021 Week 09","Red line","Number","99907"
"Passenger Journeys","2021 Week 09","Green line","Number","82639"
"Passenger Journeys","2021 Week 10","Red line","Number","100098"
"Passenger Journeys","2021 Week 10","Green line","Number","82245"
"Passenger Journeys","2021 Week 11","Red line","Number","97816"
"Passenger Journeys","2021 Week 11","Green line","Number","86775"
"Passenger Journeys","2021 Week 12","Red line","Number","103504"
"Passenger Journeys","2021 Week 12","Green line","Number","90954"
"Passenger Journeys","2021 Week 13","Red line","Number","104351"
"Passenger Journeys","2021 Week 13","Green line","Number","88872"
"Passenger Journeys","2021 Week 14","Red line","Number","94942"
"Passenger Journeys","2021 Week 14","Green line","Number","80488"
"Passenger Journeys","2021 Week 15","Red line","Number","118595"
"Passenger Journeys","2021 Week 15","Green line","Number","113900"
"Passenger Journeys","2021 Week 16","Red line","Number","126802"
"Passenger Journeys","2021 Week 16","Green line","Number","113419"
"Passenger Journeys","2021 Week 17","Red line","Number","125669"
"Passenger Journeys","2021 Week 17","Green line","Number","111451"
"Passenger Journeys","2021 Week 18","Red line","Number","112233"
"Passenger Journeys","2021 Week 18","Green line","Number","104694"
"Passenger Journeys","2021 Week 19","Red line","Number","157788"
"Passenger Journeys","2021 Week 19","Green line","Number","146271"
"Passenger Journeys","2021 Week 20","Red line","Number","181324"
"Passenger Journeys","2021 Week 20","Green line","Number","174751"
"Passenger Journeys","2021 Week 21","Red line","Number","202202"
"Passenger Journeys","2021 Week 21","Green line","Number","186077"
"Passenger Journeys","2021 Week 22","Red line","Number","210560"
